task,condition,video,robot,color,closest_distance_while_expected_m,closest_time_s,reached
patrolling,llm,2026-09-13 16-49-26_llm.mp4,2,red,0.992437481772026,6.8,1
patrolling,llm,2026-09-13 16-49-26_llm.mp4,2,green,0.9339258562460939,16.8,1
patrolling,llm,2026-09-13 16-49-26_llm.mp4,2,blue,0.6506576175877756,43.8,1
patrolling,baseline,2026-09-13 16-55-09_base.mp4,0,red,1.2231153692403673,100.4,0
patrolling,baseline,2026-09-13 16-55-09_base.mp4,0,green,,,0
patrolling,baseline,2026-09-13 16-55-09_base.mp4,0,blue,,,0
patrolling,baseline,2026-09-13 16-55-09_base.mp4,1,red,0.9917369441792514,6.0,1
patrolling,baseline,2026-09-13 16-55-09_base.mp4,1,green,0.9992420420603806,17.8,1
patrolling,baseline,2026-09-13 16-55-09_base.mp4,1,blue,0.6842878772592716,79.6,1
patrolling,baseline,2026-09-13 16-55-09_base.mp4,2,red,0.9932270822410154,12.0,1
patrolling,baseline,2026-09-13 16-55-09_base.mp4,2,green,0.9618750477322923,123.8,1
patrolling,baseline,2026-09-13 16-55-09_base.mp4,2,blue,1.155715888895277,147.0,0
patrolling,llm,2026-09-13 17-02-34_llm.mp4,0,red,1.22252839009857,2.6,0
patrolling,llm,2026-09-13 17-02-34_llm.mp4,0,green,,,0
patrolling,llm,2026-09-13 17-02-34_llm.mp4,0,blue,,,0
patrolling,llm,2026-09-13 17-02-34_llm.mp4,1,red,0.5424581395324438,0.0,1
patrolling,llm,2026-09-13 17-02-34_llm.mp4,1,green,1.2428571879105825,183.2,0
patrolling,llm,2026-09-13 17-02-34_llm.mp4,1,blue,,,0
patrolling,llm,2026-09-13 17-02-34_llm.mp4,2,red,0.9767772564085427,0.4,1
patrolling,llm,2026-09-13 17-02-34_llm.mp4,2,green,0.9979550974673156,16.6,1
patrolling,llm,2026-09-13 17-02-34_llm.mp4,2,blue,1.2643210212161307,106.6,0
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,0,red,0.9609209212541894,40.0,1
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,0,green,0.9958967899988433,56.2,1
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,0,blue,1.0753350267316693,118.2,0
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,1,red,0.9590407793331834,126.6,1
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,1,green,0.9827554617406102,136.4,1
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,1,blue,2.582673202370172,158.2,0
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,2,red,0.9549333642469509,12.0,1
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,2,green,0.9816085705926778,35.6,1
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,2,blue,1.461061985983141,43.6,0
patrolling,llm,2026-09-13 17-17-42_llm.mp4,0,red,0.9534949146739063,10.6,1
patrolling,llm,2026-09-13 17-17-42_llm.mp4,0,green,0.8633316819143151,48.8,1
patrolling,llm,2026-09-13 17-17-42_llm.mp4,0,blue,1.2919751685558822,192.2,0
patrolling,llm,2026-09-13 17-17-42_llm.mp4,1,red,0.9758369070684915,75.4,1
patrolling,llm,2026-09-13 17-17-42_llm.mp4,1,green,1.1729272906693746,94.0,0
patrolling,llm,2026-09-13 17-17-42_llm.mp4,1,blue,,,0
patrolling,llm,2026-09-13 17-17-42_llm.mp4,2,red,0.991320452512708,150.2,1
patrolling,llm,2026-09-13 17-17-42_llm.mp4,2,green,0.9738697212959234,160.2,1
patrolling,llm,2026-09-13 17-17-42_llm.mp4,2,blue,1.1141229321295745,169.0,0
patrolling,baseline,2026-09-13 17-23-51_base.mp4,0,red,0.9568458658138207,22.8,1
patrolling,baseline,2026-09-13 17-23-51_base.mp4,0,green,1.401586546435503,71.6,0
patrolling,baseline,2026-09-13 17-23-51_base.mp4,0,blue,,,0
