stamp_sec,stamp_nsec,robot,x,y,elapsed_s
30,800000000,robot_1,1.605046,1.394507,30.8
30,800000000,robot_2,3.170665,1.846343,30.8
31,0,robot_0,1.965251,0.570891,31.0
31,0,robot_1,1.603372,1.386048,31.0
31,0,robot_2,3.169018,1.846064,31.0
31,200000000,robot_0,1.971789,0.556962,31.2
31,200000000,robot_1,1.601279,1.384084,31.2
31,200000000,robot_2,3.16725,1.877077,31.2
31,400000000,robot_0,1.973288,0.553015,31.4
31,400000000,robot_1,1.603062,1.379718,31.4
31,400000000,robot_2,3.169758,1.916642,31.4
31,600000000,robot_0,1.974949,0.552366,31.6
31,600000000,robot_1,1.602743,1.371428,31.6
31,600000000,robot_2,3.172086,1.927943,31.6
31,800000000,robot_0,1.976005,0.552003,31.8
31,800000000,robot_1,1.605859,1.363056,31.8
31,800000000,robot_2,3.16567,1.928599,31.8
32,0,robot_0,1.973396,0.558586,32.0
32,0,robot_1,1.608113,1.35457,32.0
32,0,robot_2,3.156241,1.928451,32.0
32,200000000,robot_0,1.971629,0.559826,32.2
32,200000000,robot_1,1.605847,1.342527,32.2
32,200000000,robot_2,3.137278,1.926483,32.2
32,400000000,robot_0,1.969483,0.55802,32.4
32,400000000,robot_1,1.579269,1.31005,32.4
32,400000000,robot_2,3.113837,1.929661,32.4
32,600000000,robot_0,1.976205,0.547344,32.6
32,600000000,robot_1,1.557654,1.287908,32.6
32,600000000,robot_2,3.080062,1.95829,32.6
32,800000000,robot_0,1.98676,0.536555,32.8
32,800000000,robot_1,1.55351,1.272057,32.8
32,800000000,robot_2,3.054336,1.97263,32.8
33,0,robot_0,1.998831,0.529743,33.0
33,0,robot_1,1.53269,1.230386,33.0
33,0,robot_2,3.03625,1.969019,33.0
33,200000000,robot_0,2.012615,0.525432,33.2
33,200000000,robot_1,1.500486,1.181896,33.2
33,200000000,robot_2,3.007122,1.966803,33.2
33,400000000,robot_0,2.031052,0.5265,33.4
33,400000000,robot_1,1.470227,1.132306,33.4
33,400000000,robot_2,2.960747,1.981579,33.4
33,600000000,robot_0,2.045297,0.524391,33.6
33,600000000,robot_1,1.461042,1.101603,33.6
33,600000000,robot_2,2.901775,2.002194,33.6
33,800000000,robot_0,2.058815,0.527157,33.8
33,800000000,robot_1,1.446031,1.056232,33.8
33,800000000,robot_2,2.868579,2.004613,33.8
34,0,robot_0,2.072979,0.534877,34.0
34,0,robot_1,1.420843,0.994678,34.0
34,0,robot_2,2.833868,2.001097,34.0
34,200000000,robot_0,2.085892,0.544919,34.2
34,200000000,robot_1,1.397395,0.942559,34.2
34,200000000,robot_2,2.781606,2.002886,34.2
34,400000000,robot_0,2.09406,0.553523,34.4
34,400000000,robot_1,1.396045,0.91612,34.4
34,400000000,robot_2,2.705634,2.007985,34.4
34,600000000,robot_0,2.103286,0.567762,34.6
34,600000000,robot_1,1.406707,0.905548,34.6
34,600000000,robot_2,2.667212,2.007646,34.6
34,800000000,robot_0,2.109179,0.583958,34.8
34,800000000,robot_1,1.41696,0.90523,34.8
34,800000000,robot_2,2.650436,2.00107,34.8
35,0,robot_0,2.110839,0.601917,35.0
35,0,robot_1,1.429264,0.899263,35.0
35,0,robot_2,2.648922,1.988771,35.0
35,200000000,robot_0,2.107992,0.614247,35.2
35,200000000,robot_1,1.445962,0.866433,35.2
35,200000000,robot_2,2.648157,1.966073,35.2
35,400000000,robot_0,2.107734,0.620877,35.4
35,400000000,robot_1,1.453821,0.837365,35.4
35,400000000,robot_2,2.62646,1.933607,35.4
35,600000000,robot_0,2.106832,0.624694,35.6
35,600000000,robot_1,1.46403,0.826232,35.6
35,600000000,robot_2,2.58217,1.904339,35.6
35,800000000,robot_0,2.117184,0.643769,35.8
35,800000000,robot_1,1.472033,0.824623,35.8
35,800000000,robot_2,2.527354,1.860534,35.8
36,0,robot_0,2.154169,0.691969,36.0
36,0,robot_1,1.482608,0.829541,36.0
36,0,robot_2,2.503017,1.835412,36.0
36,200000000,robot_0,2.19684,0.750362,36.2
36,200000000,robot_1,1.491544,0.838761,36.2
36,200000000,robot_2,2.4763,1.802737,36.2
36,400000000,robot_0,2.224111,0.791394,36.4
36,400000000,robot_1,1.498823,0.847635,36.4
36,400000000,robot_2,2.445529,1.7696,36.4
36,600000000,robot_0,2.232925,0.814135,36.6
36,600000000,robot_1,1.505423,0.859662,36.6
36,600000000,robot_2,2.435896,1.752873,36.6
36,800000000,robot_0,2.225487,0.826838,36.8
36,800000000,robot_1,1.510437,0.86867,36.8
36,800000000,robot_2,2.443542,1.745155,36.8
37,0,robot_0,2.21716,0.836436,37.0
37,0,robot_1,1.514395,0.880881,37.0
37,0,robot_2,2.453608,1.722012,37.0
37,200000000,robot_0,2.20045,0.854825,37.2
37,200000000,robot_1,1.514556,0.892417,37.2
37,200000000,robot_2,2.445179,1.680173,37.2
37,400000000,robot_0,2.187305,0.906878,37.4
37,400000000,robot_1,1.514332,0.901959,37.4
37,400000000,robot_2,2.430179,1.612508,37.4
37,600000000,robot_0,2.176637,0.936773,37.6
37,600000000,robot_1,1.510799,0.913083,37.6
37,600000000,robot_2,2.418324,1.564095,37.6
37,800000000,robot_0,2.161066,0.944787,37.8
37,800000000,robot_1,1.506066,0.923431,37.8
37,800000000,robot_2,2.41618,1.548503,37.8
