stamp_sec,stamp_nsec,robot,x,y,elapsed_s
16,800000000,robot_1,2.625507,1.033533,16.8
16,800000000,robot_2,1.262932,2.456755,16.8
17,0,robot_0,3.706685,1.13072,17.0
17,0,robot_1,2.591719,1.096846,17.0
17,0,robot_2,1.311829,2.508473,17.0
17,200000000,robot_0,3.705406,1.202914,17.2
17,200000000,robot_1,2.5583,1.159508,17.2
17,200000000,robot_2,1.337064,2.538372,17.2
17,400000000,robot_0,3.705188,1.264611,17.4
17,400000000,robot_1,2.530278,1.213124,17.4
17,400000000,robot_2,1.343806,2.544936,17.4
17,600000000,robot_0,3.702493,1.339508,17.6
17,600000000,robot_1,2.497155,1.276316,17.6
17,600000000,robot_2,1.345515,2.550199,17.6
17,800000000,robot_0,3.702826,1.425861,17.8
17,800000000,robot_1,2.456998,1.351086,17.8
17,800000000,robot_2,1.338576,2.55998,17.8
18,0,robot_0,3.702815,1.497453,18.0
18,0,robot_1,2.424268,1.414341,18.0
18,0,robot_2,1.326044,2.567285,18.0
18,200000000,robot_0,3.698596,1.572329,18.2
18,200000000,robot_1,2.389666,1.477893,18.2
18,200000000,robot_2,1.318718,2.574273,18.2
18,400000000,robot_0,3.697671,1.628995,18.4
18,400000000,robot_1,2.362117,1.530982,18.4
18,400000000,robot_2,1.308557,2.573683,18.4
18,600000000,robot_0,3.697922,1.699003,18.6
18,600000000,robot_1,2.327843,1.59569,18.6
18,600000000,robot_2,1.299668,2.573042,18.6
18,800000000,robot_0,3.696943,1.784219,18.8
18,800000000,robot_1,2.290419,1.669081,18.8
18,800000000,robot_2,1.289139,2.568864,18.8
19,0,robot_0,3.69342,1.8572,19.0
19,0,robot_1,2.255586,1.733341,19.0
19,0,robot_2,1.281803,2.563461,19.0
19,200000000,robot_0,3.693206,1.932024,19.2
19,200000000,robot_1,2.219948,1.797741,19.2
19,200000000,robot_2,1.268451,2.554787,19.2
19,400000000,robot_0,3.689558,2.008729,19.4
19,400000000,robot_1,2.18684,1.862442,19.4
19,400000000,robot_2,1.259825,2.5459,19.4
19,600000000,robot_0,3.690076,2.08122,19.6
19,600000000,robot_1,2.152582,1.922802,19.6
19,600000000,robot_2,1.253662,2.536338,19.6
19,800000000,robot_0,3.686948,2.139634,19.8
19,800000000,robot_1,2.12402,1.975532,19.8
19,800000000,robot_2,1.25189,2.524039,19.8
20,0,robot_0,3.683633,2.210909,20.0
20,0,robot_1,2.089038,2.037846,20.0
20,0,robot_2,1.248526,2.514201,20.0
20,200000000,robot_0,3.682927,2.294974,20.2
20,200000000,robot_1,2.051026,2.112534,20.2
20,200000000,robot_2,1.25406,2.503716,20.2
20,400000000,robot_0,3.67986,2.367731,20.4
20,400000000,robot_1,2.018053,2.171048,20.4
20,400000000,robot_2,1.259518,2.488565,20.4
20,600000000,robot_0,3.677102,2.439192,20.6
20,600000000,robot_1,2.009531,2.190243,20.6
20,600000000,robot_2,1.263234,2.475221,20.6
20,800000000,robot_0,3.673909,2.503155,20.8
20,800000000,robot_1,2.008341,2.190387,20.8
20,800000000,robot_2,1.270242,2.464188,20.8
21,0,robot_0,3.672985,2.573281,21.0
21,0,robot_1,2.006653,2.184846,21.0
21,0,robot_2,1.277853,2.458646,21.0
21,200000000,robot_0,3.66741,2.65546,21.2
21,200000000,robot_1,1.999715,2.182218,21.2
21,200000000,robot_2,1.281443,2.455853,21.2
21,400000000,robot_0,3.664585,2.720865,21.4
21,400000000,robot_1,1.995969,2.175228,21.4
21,400000000,robot_2,1.270121,2.430465,21.4
21,600000000,robot_0,3.663478,2.747369,21.6
21,600000000,robot_1,1.988583,2.164991,21.6
21,600000000,robot_2,1.247854,2.370807,21.6
