stamp_sec,stamp_nsec,robot,x,y,elapsed_s
62,800000000,robot_1,0.770827,2.183715,62.8
62,800000000,robot_2,2.976181,0.505851,62.8
63,0,robot_0,1.576797,0.60251,63.0
63,0,robot_1,0.711494,2.147973,63.0
63,0,robot_2,2.97141,0.510713,63.0
63,200000000,robot_0,1.579644,0.554562,63.2
63,200000000,robot_1,0.653096,2.107362,63.2
63,200000000,robot_2,2.967501,0.514195,63.2
63,400000000,robot_0,1.586099,0.504083,63.4
63,400000000,robot_1,0.593099,2.066024,63.4
63,400000000,robot_2,2.957896,0.519351,63.4
63,600000000,robot_0,1.589598,0.458153,63.6
63,600000000,robot_1,0.534855,2.027478,63.6
63,600000000,robot_2,2.947292,0.520384,63.6
63,800000000,robot_0,1.594956,0.42644,63.8
63,800000000,robot_1,0.47703,1.986817,63.8
63,800000000,robot_2,2.942218,0.518935,63.8
64,0,robot_0,1.5957,0.416576,64.0
64,0,robot_1,0.416377,1.944726,64.0
64,0,robot_2,2.938214,0.517512,64.0
64,200000000,robot_0,1.595984,0.414831,64.2
64,200000000,robot_1,0.365723,1.905963,64.2
64,200000000,robot_2,2.933659,0.515761,64.2
64,400000000,robot_0,1.595835,0.414767,64.4
64,400000000,robot_1,0.348169,1.886494,64.4
64,400000000,robot_2,2.929899,0.517793,64.4
64,600000000,robot_0,1.595897,0.414876,64.6
64,600000000,robot_1,0.347278,1.872371,64.6
64,600000000,robot_2,2.933401,0.514678,64.6
64,800000000,robot_0,1.596021,0.414854,64.8
64,800000000,robot_1,0.353395,1.867176,64.8
64,800000000,robot_2,2.925921,0.513544,64.8
65,0,robot_0,1.596024,0.414893,65.0
65,0,robot_1,0.361446,1.863046,65.0
65,0,robot_2,2.902598,0.516238,65.0
65,200000000,robot_0,1.595988,0.414869,65.2
65,200000000,robot_1,0.37375,1.855,65.2
65,200000000,robot_2,2.863992,0.538663,65.2
65,400000000,robot_0,1.595972,0.414893,65.4
65,400000000,robot_1,0.380016,1.853696,65.4
65,400000000,robot_2,2.832085,0.550693,65.4
65,600000000,robot_0,1.596055,0.415034,65.6
65,600000000,robot_1,0.39204,1.853488,65.6
65,600000000,robot_2,2.789842,0.561666,65.6
65,800000000,robot_0,1.596028,0.415089,65.8
65,800000000,robot_1,0.402054,1.855086,65.8
65,800000000,robot_2,2.736157,0.581935,65.8
66,0,robot_0,1.59557,0.415193,66.0
66,0,robot_1,0.413419,1.861894,66.0
66,0,robot_2,2.666171,0.605417,66.0
66,200000000,robot_1,0.421296,1.867208,66.2
66,200000000,robot_2,2.600256,0.62507,66.2
66,400000000,robot_1,0.430875,1.87487,66.4
